familia,sub-familia,CÓDIGO,PRODUCTO,IMPORTADO,tipo_fabricacion,complejidad
Vollrath,utensilio,47935,Bowl Metal de 298 MM,IMPORTADO,importado-resell,
Vollrath,utensilio,47938,Bowl Metal de 342 MM,IMPORTADO,importado-resell,
Vollrath,utensilio,4808820,Espatula Solida para Voltear,IMPORTADO,importado-resell,
Vollrath,tapa-accesorio,4902-01,Tapa de Botella Dispensadora,IMPORTADO,importado-resell,
Vollrath,tapa-accesorio,4905-191,Tapa Plastica Verde Mediana,IMPORTADO,importado-resell,
Vollrath,tapa-accesorio,4906-32,Tapa Plastica Beige Mediana,IMPORTADO,importado-resell,
Vollrath,tapa-accesorio,4907-08,Tapa Plastica Amarilla Grande,IMPORTADO,importado-resell,
Vollrath,tapa-accesorio,4908-01,Tapa Plastica Negra Boca Ancha Grande,IMPORTADO,importado-resell,
Vollrath,utensilio,4980810,Cucharon Gancho Acanalado 8 oz,IMPORTADO,importado-resell,
Vollrath,utensilio,4981220,Cucharon Gancho Acanalado Antimicrobial 12 oz,IMPORTADO,importado-resell,
Vollrath,utensilio,5200311,Tabla de Cortar o Picar Multicolor,IMPORTADO,importado-resell,
Vollrath,utensilio,52010,Espatula Tipo Cuchara Flexible,IMPORTADO,importado-resell,
Vollrath,dispensador,52063,Botella Dispensadora de una Punta Plastico Transparente,IMPORTADO,importado-resell,
Vollrath,dispensador,52064,Botella Dispensadora de una Punta Plastico Rojo,IMPORTADO,importado-resell,
Vollrath,dispensador,52065,Botella Dispensadora de una Punta Plastico Amarillo,IMPORTADO,importado-resell,
Vollrath,utensilio,52109,Espatula Termoplastica,IMPORTADO,importado-resell,
Vollrath,deposito-gn,52618,Caja Contenedora con Canasto de Drenaje Interior,IMPORTADO,importado-resell,
Vollrath,cucharas,5283520,Cuchara Porcionadora Tazon Redondo Solido,IMPORTADO,importado-resell,
Vollrath,cucharas,5283621,Cuchara Porcionadora Tazon Redondo Perforado,IMPORTADO,importado-resell,
Vollrath,cucharas,5292620,Cuchara Porcionadora Tazon Ovalado Solido,IMPORTADO,importado-resell,
Vollrath,cucharas,5292720,Cuchara Porcionadora Tazon Ovalado Perdorado,IMPORTADO,importado-resell,
Vollrath,utensilio,4808921,Espatula Perforada para Voltear,IMPORTADO,importado-resell,
Vollrath,bandeja,5315,Bandeja de Aluminio,IMPORTADO,importado-resell,
Vollrath,utensilio,533-06,Tazon Salsera Plastico Negro,IMPORTADO,importado-resell,
Vollrath,sarten,58910,Sarten de Acero al Carbono,IMPORTADO,importado-resell,
Vollrath,cucharas,62175,Cuchara Porcionador Tazon Redondo Perforado,IMPORTADO,importado-resell,
Vollrath,cucharas,62177,Cuchara Porcionadora Tazon Redondo Solido,IMPORTADO,importado-resell,
Vollrath,tapa-accesorio,62303,Cubierta o Tapa para Platos 239mm,IMPORTADO,importado-resell,
Vollrath,tapa-accesorio,62340,Cubierta o Tapa para Platos 220mm,IMPORTADO,importado-resell,
Vollrath,cucharas,6412335,Cuchara Porcionadora Tazon Ovalado Solido Mango Blanco,IMPORTADO,importado-resell,
Vollrath,utensilio,64130,Cuchara Solida Mango Ergonomico Negro,IMPORTADO,importado-resell,
Vollrath,utensilio,64132,Cuchara Perforada Mango Ergonomico Negro,IMPORTADO,importado-resell,
Vollrath,cucharas,6422335,Cuchara Porcionadora Tazon Ovalado Mango Blanco,IMPORTADO,importado-resell,
Vollrath,cucharas,6432120,Cuchara Porcionadora Tazon Redondo Mango Negro,IMPORTADO,importado-resell,
Vollrath,cucharas,6433121,Cuchara Porcionadora Tazon Redondo Solido Mango Negro,IMPORTADO,importado-resell,
Vollrath,bandeja,68100,Bandeja para Hornear Galletas,IMPORTADO,importado-resell,
Vollrath,utensilio,68183,Agitador de Aluminio con Mango,IMPORTADO,importado-resell,
Vollrath,sarten,69210,Sarten de Acero Inoxidable 254mm Diametro Mango Perforado,IMPORTADO,importado-resell,
Vollrath,sarten,7010,Sarten Aluminio 254mm Diametro,IMPORTADO,importado-resell,
Vollrath,accesorio,72681019,Lampara de Calor Aluminio,IMPORTADO,importado-resell,
Vollrath,deposito-gn,8006410,Deposito Plastico Resistente 1/1 Policarbonato,IMPORTADO,importado-resell,
Vollrath,deposito-gn,8034410,Deposito Plastico Resistente 1/3 Policarbonato,IMPORTADO,importado-resell,
Vollrath,deposito-gn,8034420,Deposito Plastico Resistente 1/3 Policarbonato Negro,IMPORTADO,importado-resell,
Vollrath,cortador,808SG,Cortador de Frutas y Vegetales 8 Secciones,IMPORTADO,importado-resell,
Vollrath,deposito-gn,90023,Deposito Gastronomico con Esquinas Concavas 1/1x65mm,IMPORTADO,importado-resell,
Vollrath,deposito-gn,90052,Deposito Gastronomico con Esquinas Concavas 1/1x60mm,IMPORTADO,importado-resell,
Vollrath,deposito-gn,9006410,Deposito Plastico Resistente de Resina de Ambar,IMPORTADO,importado-resell,
Vollrath,deposito-gn,90252,Deposito Gastronomico con Esquinas Concavas 1/2x60mm,IMPORTADO,importado-resell,
Vollrath,deposito-gn,90352,Deposito Gastronomico con Esquinas Concavas 1/3x60mm,IMPORTADO,importado-resell,
Vollrath,deposito-gn,90642,Deposito Gastronomico con Esquinas Concavas 1/6x100mm,IMPORTADO,importado-resell,
Vollrath,deposito-gn,90942,Deposito Gastronomico con Esquinas Concavas 1/9x100mm,IMPORTADO,importado-resell,
Vollrath,tapa-accesorio,918-13,Cubierta o Tapa para Platos de Policarbonato Transparente,IMPORTADO,importado-resell,
Vollrath,utensilio,BCO-6000,Abridor de Latas,IMPORTADO,importado-resell,
Vollrath,vitrina-encimera,LBC1418-3F-06,Vitrina Encimera para Pasteles 3 Compartimientos,IMPORTADO,importado-resell,
Accesorios para Personas con Capacidades Diferentes,en-l,BRA-01200,Barra en L 600X600,IMPORTADO,importado-revisar,C1
Accesorios para Personas con Capacidades Diferentes,en-angulo,BRA-0130,Barra Ángulo 130°,IMPORTADO,importado-revisar,C1
Accesorios para Personas con Capacidades Diferentes,recta,BRA-0300,Barra de Apoyo 300MM,IMPORTADO,importado-revisar,C1
Accesorios para Personas con Capacidades Diferentes,recta,BRA-0450,Barra de Apoyo 450MM,IMPORTADO,importado-revisar,C1
Accesorios para Personas con Capacidades Diferentes,recta,BRA-0600,Barra de Apoyo 600MM,IMPORTADO,importado-revisar,C1
Accesorios para Personas con Capacidades Diferentes,recta,BRA-0800,Barra de Apoyo 800MM,IMPORTADO,importado-revisar,C1
Accesorios para Personas con Capacidades Diferentes,abatible,BRA-0610,Barra Abatible 610MM,IMPORTADO,importado-revisar,C1
Accesorios para Personas con Capacidades Diferentes,doble,BRA-0790,Barra de Apoyo Doble a Muro 600MM,IMPORTADO,importado-revisar,C1
Accesorios para Personas con Capacidades Diferentes,en-proyecto,PAD-0900,Puerta de Acceso Universal,IMPORTADO,importado-revisar,C3
Baldes,balde,BLDS-180,Balde de 5Lts,,fabricado,C1
Baldes,balde,BLDS-190,Balde de 7Lts,,fabricado,C1
Baldes,balde,BLDS-230,Balde de 10Lts,,fabricado,C1
Baldes,balde,BLDS-240,Balde de 12Lts,,fabricado,C1
Baldes,balde,BLDS-380,Balde de 14Lts,,fabricado,C1
Baldes,balde,BLDS-270,Balde de 15Lts,,fabricado,C1
Baldes,balde,BLDS-300,Balde de 20Lts,,fabricado,C1
Baldes,balde,BLDS-350,Balde de 30Lts,,fabricado,C1
Baldes,balde,BLDS-400,Balde de 40Lts,,fabricado,C1
Bandejas Pasa Valores,bandeja-pasavalores,BANPSVC-00300,Bandeja Pasa Valores 300,,fabricado,C2
Bandejas Pasa Valores,bandeja-pasavalores,BANPSVC-00260,Bandeja Pasa Valores 260,,fabricado,C2
Bandejas Pasa Valores,bandeja-pasavalores,BANPSVC-00150,Bandeja Pasa Valores 200,,fabricado,C2
Baranda y Pasamanos,hardware-accesorio,CC104,Toma Cristal 50MM,IMPORTADO,importado-revisar,C1
Baranda y Pasamanos,hardware-accesorio,CC119-254,Tapa para Tubo 25.4MM,IMPORTADO,importado-revisar,C1
Baranda y Pasamanos,hardware-accesorio,CC119-318,Tapa para Tubo 31.8MM,IMPORTADO,importado-revisar,C1
Baranda y Pasamanos,hardware-accesorio,CC119-508,Tapa para Tubo 50.8MM,IMPORTADO,importado-revisar,C1
Baranda y Pasamanos,hardware-accesorio,CC147,Soporte para Vidrio 8-10MM,IMPORTADO,importado-revisar,C1
Baranda y Pasamanos,hardware-accesorio,CC148,Separador de Cristal 25MM,IMPORTADO,importado-revisar,C1
Baranda y Pasamanos,hardware-accesorio,CC11,Soporte Muro Pasamanos,IMPORTADO,importado-revisar,C1
Baranda y Pasamanos,hardware-accesorio,CC15,Soporte Pasamanos 1/2,IMPORTADO,importado-revisar,C1
Baranda y Pasamanos,hardware-accesorio,CC151,Flanche para Tubo 50.8MM,IMPORTADO,importado-revisar,C1
Baranda y Pasamanos,hardware-accesorio,CC6,Espiga para Vidrios,IMPORTADO,importado-revisar,C1
Baranda y Pasamanos,hardware-accesorio,CCS6,Perno Anclaje Espiga para Vidrio,IMPORTADO,importado-revisar,C1
Baranda y Pasamanos,hardware-accesorio,CC97,Roseta Cubre Base para Tubo 50.8MM,IMPORTADO,importado-revisar,C1
Baranda y Pasamanos,hardware-accesorio,DD-004,Balaustro Doble Lado,IMPORTADO,importado-revisar,C1
Baranda y Pasamanos,hardware-accesorio,DD-004S,Balaustro a un Lado,IMPORTADO,importado-revisar,C1
Baranda y Pasamanos,hardware-accesorio,DD-138,Balaustro Vidrio,IMPORTADO,importado-revisar,C1
Baranda y Pasamanos,hardware-accesorio,DD-181,Balaustro 4 Barras,IMPORTADO,importado-revisar,C1
Baranda y Pasamanos,guia,GUC-01000,Protecciones Bajas,IMPORTADO,importado-revisar,C1
Baranda y Pasamanos,puerta-acceso,PU-0015,Módulo Puerta Unidireccional,IMPORTADO,importado-revisar,C2
Basureros,basurero-especial,BABTRA-0440,Basurero Anti-Vandálico,,fabricado,C3
Basureros,basurero-simple,BACON-0410,Basurero Modelo Cónico,,fabricado,C1
Basureros,basurero-simple,BAMU-0600,Basurero Modelo Mural,,fabricado,C1
Basureros,basurero-con-mecanismo,BANI-0350,Basurero Modelo Nido,,fabricado,C2
Basureros,basurero-especial,BAPLA-0470,Basurero Modelo Plaza,,fabricado,C3
Basureros,basurero-especial,BAPRO-0500,Basurero Modelo Providencia,,fabricado,C3
Basureros,basurero-reciclaje,BARE-0600,Basurero Reciclaje,,fabricado,C2
Basureros,basurero-reciclaje,BARE-0955,Basurero Reciclaje Bicolor,,fabricado,C2
Basureros,basurero-reciclaje,BARE-0960,Basurero Reciclaje,,fabricado,C2
Basureros,basurero-reciclaje,BARE4-01300,Basurero Reciclaje con 4 Compartimientos,,fabricado,C2
Basureros,basurero-reciclaje,BARE5-01500,Basurero Recilaje con 5 Compartimientos,,fabricado,C2
Basureros,basurero-reciclaje,BAREE-0320,Módulo de Reciclaje para Oficinas,,fabricado,C2
Basureros,basurero-reciclaje,BAREN-01300,Contenedor para Reciclaje,,fabricado,C2
Basureros,basurero-reciclaje,BARSV-01230,Basurero Reciclaje con 3 Compartimientos,,fabricado,C2
Basureros,basurero-especial,BASTR-0500,Basurero Modelo RedBus,,fabricado,C3
Basureros,basurero-especial,BASTR-0600,Basurero RedBus Pivotante,,fabricado,C3
Basureros,basurero-con-mecanismo,BATP-0300,Basurero Rectangular 50Lts,,fabricado,C2
Basureros,basurero-con-mecanismo,BATYPR-0225,Basurero 225MM,,fabricado,C2
Basureros,basurero-con-mecanismo,BATYPR-0300,Basurero 300MM,,fabricado,C2
Basureros,basurero-con-mecanismo,BATYPR-0650,Basurero 650MM,,fabricado,C2
Basureros,basurero-con-mecanismo,BATYPR-0601,Basurero 601MM,,fabricado,C2
Basureros,basurero-con-mecanismo,BATYPR-0801,Basurero 800MM,,fabricado,C2
Basureros,basurero-con-mecanismo,BATYPR-0100,Basurero 100,,fabricado,C2
Basureros,basurero-con-mecanismo,BAVAD-0500,Basurero Tapa Vaivén Doble,,fabricado,C2
Basureros,basurero-especial,BM-0700,Basurero Mall Simple,,fabricado,C3
Basureros,basurero-especial,BMD-1300,Basurero Mall Doble,,fabricado,C3
Basureros,basurero-especial,BMPE-0250,Basurero Mural para Empotrar,,fabricado,C3
Basureros,basurero-reciclaje,BRDB-620,Basurero Domestic Transparente,,fabricado,C2
Basureros,basurero-reciclaje,BRDT-620,Basurero Domestic Bin,,fabricado,C2
Basureros,basurero-reciclaje,BRPA-0500,Basurero Reciclaje Puerta Abatible,,fabricado,C2
Basureros,basurero-simple,CEN-0650,Basurero Cenicero,,fabricado,C1
Basureros,importado,BCPT-103,Basurero 3Lts Tramontina,IMPORTADO,importado-resell,
Basureros,importado,BCPT-105,Basurero 5Lts Tramontina,IMPORTADO,importado-resell,
Basureros,importado,BCPT-112,Basurero 12Lts Tramontina,IMPORTADO,importado-resell,
Basureros,importado,BCPT-120,Basurero 20Lts Tramontina,IMPORTADO,importado-resell,
Basureros,importado,BAFOG-0700,Mueble para Basurero (FOOD GARDEN),IMPORTADO,importado-resell,
Basureros,importado,BCPT-130,Basurero 30Lts Tramontina,IMPORTADO,importado-resell,
Basureros,importado,BCCT-111,Basurero Cenicero Tramontina,IMPORTADO,importado-resell,
Basureros,basurero-reciclaje,BRET-0960,Basurero Recilaje con 3 Divisiones,,fabricado,C2
Basureros,basurero-simple,BEMT-008,Basurero de Empotrar,,fabricado,C1
Basureros,basurero-con-mecanismo,BCTV-040,Basurero Tapa Vaivén Tramontina,,fabricado,C2
Basureros,basurero-simple,BDS-0400,Basurero Sin Ruedas Bajo Mesón,,fabricado,C1
Basureros,basurero-simple,BDC-0400,Basurero Con Ruedas Bajo Mesón,,fabricado,C1
Basureros,basurero-especial,MES-400,Basurero Exterior By Tramontina,,fabricado,C3
Basureros,basurero-especial,MOD-500,Basurero Exterior By Tramontina,,fabricado,C3
Basureros,basurero-con-mecanismo,TRASH BIN RING,Anillo de 245 MM,,fabricado,C2
Bicicleteros,bicicletero-standard,BCN-01400,Bicicletero Enns,,fabricado,C1
Bicicleteros,bicicletero-standard,BCN-0600,Bicicletero Linz (Individual),,fabricado,C1
Bicicleteros,bicicletero-standard,BCN-02000,Bicicletero Wels,,fabricado,C1
Bicicleteros,bicicletero-standard,BCN-01500,Bicicletero Graz,,fabricado,C1
Bicicleteros,bicicletero-standard,BCN-01600,Bicicletero Tirol,,fabricado,C1
Bicicleteros,bicicletero-standard,BCN-01350,Bicicletero Vienna,,fabricado,C1
Buzón,buzon,BAI-300,Buzón 360MM,,fabricado,C1
Buzón,buzon,BAI-350,Buzón 350MM,,fabricado,C1
Buzón,buzon,BEAI-105,Buzón Especial 105MM,,fabricado,C2
Equipo Industrial,lavabotas,LB-0500,Lavabotas de Acero Inoxidable,,fabricado,C2
Equipo Industrial,marmita,,Marmita Especial con Anafe y Termostato,,fabricado,C3
Escalera Piscina,escalera-piscina,EPPC-1940,Escalera para Piscina,,fabricado,C3
Mudador,especial,,Receptáculo para Mudador,,fabricado,C3
Números y Letras,numero,,Números Armados 150-230MM,,fabricado,C2
Números y Letras,numero,,Números Armados 240-270MM,,fabricado,C2
Números y Letras,numero,,Números Armados 280-350MM,,fabricado,C2
Números y Letras,numero,,Números Armados 360-440MM,,fabricado,C2
Números y Letras,numero,,Números Armados 450-560MM,,fabricado,C2
Números y Letras,letra,,Letras Armadas 150MM,,fabricado,C1
Números y Letras,letra,,Letras Armadas 350MM,,fabricado,C1
Números y Letras,letra,,Letras Armadas 960MM,,fabricado,C1
Peinazo,peinazo,PZ-8503,Peinazo 850X300MM,,fabricado,C2
Peinazo,peinazo,PZ-8504,Peinazo 850X400MM,,fabricado,C2
Peinazo,peinazo,PZ-9003,Peinazo 900X300MM,,fabricado,C2
Protección Escaleras,proteccion-escalera,PEDF-1000,Protección Escala Mecánica,,fabricado,C1
Protección Escaleras,proteccion-escalera,PEDL-0800,Protección Escala Mecánica,,fabricado,C1
Protector Anti-Skate,anti-skate,ANS-001,Protector Anti-Skate,,fabricado,C1
Sillas,silla,SL-02,Silla de Acero Inoxidable N°2,,fabricado,C2
Sillas,banca,BTCP-2960,Banqueta con 5 Asientos,,fabricado,C2
Sillas,banca,REDBUS,Banca Transantiago 4 Puestos,,fabricado,C1
Sillas,silla,SL-01,Silla de Acero Inoxidable N°1,,fabricado,C2
Soporte Extintor,soporte-extintor,SPE-001,Soporte Extintor Diseño 1,,fabricado,C1
Soporte Extintor,soporte-extintor,SPE-002,Soporte Extintor Diseño 2,,fabricado,C1
Soporte Extintor,gabinete-extintor,INC-0700,Gabinete Equipamiento Anti-Incendios,,fabricado,C2
Sumideros,sumidero-tapa,SUMVE-0300,Sumidero con Tapa Perforada 300,,fabricado,C1
Sumideros,sumidero-tapa,SUMVE-0400,Sumidero con Tapa Perforada 400,,fabricado,C1
Sumideros,sumidero-rejilla,SUMHO-0200,Sumidero con Rejilla,,fabricado,C1
Sumideros,canaleta,REJCN-0300,Canaleta con Rejilla,,fabricado,C1
Sumideros,canaleta,REJCN-0200,Canaleta con Rejilla,,fabricado,C1
Sumideros,sumidero-tapa,,Sumidero con Tapa Perforada 500,,fabricado,C1
Urinarios,urinario,UR-2470,Urinario 1000X700,,fabricado,C3
Urinarios,urinario,UR-2480,Urinario 800X1000,,fabricado,C3
Urinarios,urinario,UR-2410,Urinario 1000X1000,,fabricado,C3
Urinarios,urinario,UR-2412,Urinario 1000X1200,,fabricado,C3
Urinarios,urinario,UR-1000,Urinario 1000X700,,fabricado,C2
Urinarios,urinario,UR-3016,Urinario 1000X1600,,fabricado,C3
Zócalos,zocalo,,Zócalo 100 de Alto con Espesor de 1MM,,fabricado,C1
Zócalos,zocalo,,Zócalo 150 de Alto con Espesor de 1.5MM,,fabricado,C1
Zócalos,zocalo,,Zócalo 150 de Alto con Espesor de 1MM,,fabricado,C1
Zócalos,zocalo,,Zócalo 80 de Alto con Espesor de 1MM,,fabricado,C1
